country,year,scenario,co2_projected
China,2025,BAU,11714.178157307362
China,2025,Moderate Mitigation,12043.25626
China,2025,Aggressive Mitigation,11674.585149999999
China,2026,BAU,11823.55921420916
China,2026,Moderate Mitigation,11802.3911348
China,2026,Aggressive Mitigation,11090.8558925
China,2027,BAU,11919.04852812291
China,2027,Moderate Mitigation,11566.343312104
China,2027,Aggressive Mitigation,10536.313097875
China,2028,BAU,12002.410394701921
China,2028,Moderate Mitigation,11335.016445861918
China,2028,Aggressive Mitigation,10009.497442981248
China,2029,BAU,12075.18503842607
China,2029,Moderate Mitigation,11108.316116944681
China,2029,Aggressive Mitigation,9509.022570832185
China,2030,BAU,12138.71707035529
China,2030,Moderate Mitigation,10886.149794605788
China,2030,Aggressive Mitigation,9033.571442290577
China,2031,BAU,12194.180331657602
China,2031,Moderate Mitigation,10668.426798713672
China,2031,Aggressive Mitigation,8581.892870176047
China,2032,BAU,12242.599581929902
China,2032,Moderate Mitigation,10455.058262739398
China,2032,Aggressive Mitigation,8152.798226667244
China,2033,BAU,12284.869433032834
China,2033,Moderate Mitigation,10245.95709748461
China,2033,Aggressive Mitigation,7745.158315333881
China,2034,BAU,12321.770878268266
China,2034,Moderate Mitigation,10041.037955534915
China,2034,Aggressive Mitigation,7357.900399567187
China,2035,BAU,12353.985722298532
China,2035,Moderate Mitigation,9840.217196424219
China,2035,Aggressive Mitigation,6990.005379588827
China,2036,BAU,12382.10917841992
China,2036,Moderate Mitigation,9643.412852495734
China,2036,Aggressive Mitigation,6640.505110609385
China,2037,BAU,12406.660865942245
China,2037,Moderate Mitigation,9450.54459544582
China,2037,Aggressive Mitigation,6308.479855078916
China,2038,BAU,12428.094410866177
China,2038,Moderate Mitigation,9261.533703536901
China,2038,Aggressive Mitigation,5993.05586232497
China,2039,BAU,12446.805827243907
China,2039,Moderate Mitigation,9076.303029466166
China,2039,Aggressive Mitigation,5693.403069208721
China,2040,BAU,12463.14083408031
China,2040,Moderate Mitigation,8894.77696887684
China,2040,Aggressive Mitigation,5408.7329157482845
United States,2025,BAU,5257.3626624618555
United States,2025,Moderate Mitigation,4806.0376
United States,2025,Aggressive Mitigation,4658.914
United States,2026,BAU,5253.366788714725
United States,2026,Moderate Mitigation,4709.916848
United States,2026,Aggressive Mitigation,4425.9682999999995
United States,2027,BAU,5249.892133216511
United States,2027,Moderate Mitigation,4615.71851104
United States,2027,Aggressive Mitigation,4204.669884999999
United States,2028,BAU,5246.8707087183175
United States,2028,Moderate Mitigation,4523.4041408192
United States,2028,Aggressive Mitigation,3994.436390749999
United States,2029,BAU,5244.243396168058
United States,2029,Moderate Mitigation,4432.936058002815
United States,2029,Aggressive Mitigation,3794.714571212499
United States,2030,BAU,5241.958787950684
United States,2030,Moderate Mitigation,4344.277336842759
United States,2030,Aggressive Mitigation,3604.978842651874
United States,2031,BAU,5239.972182015133
United States,2031,Moderate Mitigation,4257.391790105904
United States,2031,Aggressive Mitigation,3424.72990051928
United States,2032,BAU,5238.244707206474
United States,2032,Moderate Mitigation,4172.243954303785
United States,2032,Aggressive Mitigation,3253.493405493316
United States,2033,BAU,5236.74256268896
United States,2033,Moderate Mitigation,4088.79907521771
United States,2033,Aggressive Mitigation,3090.8187352186496
United States,2034,BAU,5235.436356578059
United States,2034,Moderate Mitigation,4007.0230937133556
United States,2034,Aggressive Mitigation,2936.2777984577174
United States,2035,BAU,5234.3005308407455
United States,2035,Moderate Mitigation,3926.882631839089
United States,2035,Aggressive Mitigation,2789.4639085348313
United States,2036,BAU,5233.312861211292
United States,2036,Moderate Mitigation,3848.3449792023066
United States,2036,Aggressive Mitigation,2649.9907131080895
United States,2037,BAU,5232.454022337602
United States,2037,Moderate Mitigation,3771.37807961826
United States,2037,Aggressive Mitigation,2517.491177452685
United States,2038,BAU,5231.707209649465
United States,2038,Moderate Mitigation,3695.950518025895
United States,2038,Aggressive Mitigation,2391.6166185800507
United States,2039,BAU,5231.057810549998
United States,2039,Moderate Mitigation,3622.0315076653774
United States,2039,Aggressive Mitigation,2272.035787651048
United States,2040,BAU,5230.493118496572
United States,2040,Moderate Mitigation,3549.5908775120693
United States,2040,Aggressive Mitigation,2158.4339982684955
India,2025,BAU,3401.083853818871
India,2025,Moderate Mitigation,3129.60844
India,2025,Aggressive Mitigation,3033.8041
India,2026,BAU,3516.956059381171
India,2026,Moderate Mitigation,3067.0162711999997
India,2026,Aggressive Mitigation,2882.113895
India,2027,BAU,3632.2489039156603
India,2027,Moderate Mitigation,3005.675945776
India,2027,Aggressive Mitigation,2738.00820025
India,2028,BAU,3746.965284227477
India,2028,Moderate Mitigation,2945.5624268604797
India,2028,Aggressive Mitigation,2601.1077902374996
India,2029,BAU,3861.1080826377347
India,2029,Moderate Mitigation,2886.6511783232704
India,2029,Aggressive Mitigation,2471.0524007256245
India,2030,BAU,3974.6801670559407
India,2030,Moderate Mitigation,2828.9181547568046
India,2030,Aggressive Mitigation,2347.499780689343
India,2031,BAU,4087.6843910520556
India,2031,Moderate Mitigation,2772.3397916616686
India,2031,Aggressive Mitigation,2230.124791654876
India,2032,BAU,4200.1235939281905
India,2032,Moderate Mitigation,2716.8929958284352
India,2032,Aggressive Mitigation,2118.618552072132
India,2033,BAU,4312.000600789945
India,2033,Moderate Mitigation,2662.5551359118667
India,2033,Aggressive Mitigation,2012.6876244685252
India,2034,BAU,4423.318222617389
India,2034,Moderate Mitigation,2609.304033193629
India,2034,Aggressive Mitigation,1912.053243245099
India,2035,BAU,4534.079256335697
India,2035,Moderate Mitigation,2557.1179525297566
India,2035,Aggressive Mitigation,1816.4505810828439
India,2036,BAU,4644.286484885413
India,2036,Moderate Mitigation,2505.975593479161
